,City,Country,Lat,Lng,Date,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
276,ariquemes,BR,-9.91,-63.03,"06/25/19, 18:33:07",96,48,88.27,3.91
277,jieshi,CN,22.82,115.83,"06/25/19, 18:33:07",38,93,77.65,2.08
278,talas,TR,38.69,35.55,"06/25/19, 18:33:07",0,39,78.8,13.87
279,tambun,MY,4.62,101.14,"06/25/19, 18:33:07",75,83,80.6,3.36
280,macia,MZ,-25.03,33.09,"06/25/19, 18:33:07",14,87,62.53,5.23
281,harbour breton,CA,47.48,-55.8,"06/25/19, 18:33:08",37,84,47.41,12.21
282,marsa matruh,EG,31.35,27.25,"06/25/19, 18:33:08",40,83,78.8,11.41
283,umm lajj,SA,25.02,37.27,"06/25/19, 18:30:45",0,63,87.19,10.8
284,payo,ID,-3.75,103.64,"06/25/19, 18:33:08",38,92,65.95,3.13
285,troitsko-pechorsk,RU,62.71,56.19,"06/25/19, 18:33:08",58,74,45.07,4.63
286,haines junction,CA,60.75,-137.51,"06/25/19, 18:28:30",96,59,60.55,2.13
287,meulaboh,ID,4.14,96.13,"06/25/19, 18:33:08",59,75,82.33,7.87
288,tessalit,ML,20.2,1.01,"06/25/19, 18:33:08",61,5,109.69,11.36
289,falam,MM,22.91,93.68,"06/25/19, 18:33:09",99,99,65.95,2.48
290,arak,IR,34.1,49.69,"06/25/19, 18:33:09",0,17,75.31,5.23
291,tadine,NC,-21.55,167.88,"06/25/19, 18:33:09",63,88,72.25,16.15
292,sillanwali,PK,31.83,72.54,"06/25/19, 18:33:09",3,26,97.09,2.77
293,washougal,US,45.58,-122.35,"06/25/19, 18:33:09",90,63,70.0,4.7
294,ginda,IN,30.69,78.49,"06/25/19, 18:29:05",75,74,84.2,8.05
295,yumen,CN,40.29,97.04,"06/25/19, 18:33:09",100,30,70.99,14.61
296,sindgi,IN,16.92,76.23,"06/25/19, 18:33:10",100,81,78.91,18.97
297,lukovetskiy,RU,64.29,41.92,"06/25/19, 18:33:10",40,67,57.2,2.24
298,tuktoyaktuk,CA,69.44,-133.03,"06/25/19, 18:33:10",75,80,39.2,19.46
299,umm kaddadah,SD,13.6,26.69,"06/25/19, 18:33:10",46,35,90.79,9.64
300,san rafael,AR,-34.61,-68.33,"06/25/19, 18:33:11",0,23,49.93,17.16
301,bandundu,CD,-3.32,17.38,"06/25/19, 18:33:11",10,37,81.79,2.01
302,vaitape,PF,-16.52,-151.75,"06/25/19, 18:33:11",69,72,79.09,15.52
303,srednekolymsk,RU,67.46,153.71,"06/25/19, 18:33:11",15,42,68.11,3.65
304,bani walid,LY,31.76,14.0,"06/25/19, 18:33:12",0,17,90.25,15.5
305,rawson,AR,-43.3,-65.11,"06/25/19, 18:33:12",0,42,44.71,14.92
306,broome,GB,52.47,1.45,"06/25/19, 18:28:36",75,93,75.0,10.29
307,gasa,BT,27.91,89.73,"06/25/19, 18:33:12",100,92,42.19,5.64
308,poyarkovo,RU,49.62,128.65,"06/25/19, 18:33:12",100,96,60.01,2.42
309,carballo,ES,43.21,-8.69,"06/25/19, 18:33:13",0,60,70.0,6.93
310,bafoulabe,ML,13.81,-10.83,"06/25/19, 18:33:13",0,10,108.43,8.59
311,ponta delgada,PT,37.73,-25.67,"06/25/19, 18:33:13",75,72,66.2,12.75
312,norrkoping,SE,58.59,16.18,"06/25/19, 18:33:13",98,82,69.8,8.05
313,shupiyan,IN,33.72,74.83,"06/25/19, 18:33:13",27,66,52.81,2.42
314,samana,EC,0.12,-76.97,"06/25/19, 18:33:14",40,74,86.0,2.24
315,harper,US,30.3,-99.24,"06/25/19, 18:33:14",75,42,89.01,8.05
316,udachnyy,RU,66.42,112.4,"06/25/19, 18:33:14",0,52,64.4,3.2
317,saqqez,IR,36.24,46.27,"06/25/19, 18:33:14",0,29,73.87,2.73
318,kununurra,AU,-15.77,128.74,"06/25/19, 18:33:14",0,62,51.8,1.12
319,polunochnoye,RU,60.87,60.43,"06/25/19, 18:33:15",62,72,45.79,3.8
320,kharp,RU,66.82,65.8,"06/25/19, 18:33:15",100,99,34.09,5.37
321,san cristobal,EC,-0.39,-78.55,"06/25/19, 18:33:15",75,38,73.4,4.7
322,coahuayana,MX,18.62,-100.35,"06/25/19, 18:33:15",82,63,87.73,1.63
323,svobodnyy,RU,53.85,40.53,"06/25/19, 18:33:15",67,56,57.99,8.28
324,isangel,VU,-19.55,169.27,"06/25/19, 18:28:51",75,83,77.0,16.11
325,gat,SN,14.69,-16.54,"06/25/19, 18:28:46",0,52,87.8,14.99
326,mayumba,GA,-3.44,10.65,"06/25/19, 18:33:16",93,83,74.95,10.4
327,severnoye,RU,54.09,52.54,"06/25/19, 18:33:16",0,84,55.87,6.42
328,cururupu,BR,-1.82,-44.87,"06/25/19, 18:33:16",3,60,86.29,6.35
329,abu samrah,SY,35.3,37.18,"06/25/19, 18:33:16",0,35,85.93,10.94
330,ciudad bolivar,VE,8.12,-63.55,"06/25/19, 18:33:16",74,59,88.63,9.82
331,yulara,AU,-25.24,130.99,"06/25/19, 18:33:16",0,38,42.8,5.82
332,springbok,ZA,-29.67,17.88,"06/25/19, 18:33:17",0,94,46.51,1.07
333,duluth,US,46.77,-92.13,"06/25/19, 18:30:05",75,50,77.0,14.99
334,mount gambier,AU,-37.83,140.78,"06/25/19, 18:33:17",0,100,35.6,5.82
335,taltal,CL,-25.41,-70.49,"06/25/19, 18:33:17",77,76,56.05,4.88
336,nizhniy kuranakh,RU,58.84,125.49,"06/25/19, 18:33:17",61,88,49.21,2.62
337,primorsk,RU,60.37,28.62,"06/25/19, 18:33:17",97,73,58.39,14.14
338,lufilufi,WS,-13.87,-171.6,"06/25/19, 18:33:17",20,88,75.2,6.93
339,ulaanbaatar,MN,47.92,106.92,"06/25/19, 18:33:18",20,71,50.0,2.24
340,nishihara,JP,35.74,139.53,"06/25/19, 18:33:18",1,88,75.0,4.7
341,burnie,AU,-41.05,145.91,"06/25/19, 18:33:18",0,97,39.99,5.01
342,lahad datu,MY,5.02,118.33,"06/25/19, 18:33:18",61,98,72.79,2.42
343,miles city,US,46.41,-105.84,"06/25/19, 18:29:01",1,35,73.4,6.93
344,cockburn town,TC,21.46,-71.14,"06/25/19, 18:31:55",42,80,81.25,11.54
345,providencia,CO,1.24,-77.6,"06/25/19, 18:33:18",75,55,71.6,11.41
346,veinticinco de mayo,AR,-27.38,-54.75,"06/25/19, 18:33:19",98,69,70.45,8.03
347,alegrete,BR,-29.79,-55.79,"06/25/19, 18:33:19",100,87,50.65,15.5
348,salalah,OM,17.01,54.1,"06/25/19, 18:28:53",75,89,84.2,9.17
349,constitucion,MX,23.99,-104.67,"06/25/19, 18:33:19",40,31,79.0,9.17
350,gayny,RU,60.3,54.33,"06/25/19, 18:33:19",60,69,49.75,4.36
351,balakhta,RU,55.38,91.62,"06/25/19, 18:33:19",100,93,50.83,2.44
352,tongren,CN,27.72,109.18,"06/25/19, 18:33:20",69,88,68.29,0.94
353,rosetta,EG,31.4,30.42,"06/25/19, 18:33:20",0,78,80.6,9.17
354,vestmanna,FO,62.16,-7.17,"06/25/19, 18:33:20",92,87,51.8,10.29
355,kloulklubed,PW,7.04,134.26,"06/25/19, 18:33:20",75,94,77.0,14.16
356,kruisfontein,ZA,-34.0,24.73,"06/25/19, 18:33:20",60,93,51.73,10.92
357,baza,ES,37.49,-2.77,"06/25/19, 18:33:20",0,52,86.0,5.99
358,coos bay,US,43.37,-124.22,"06/25/19, 18:28:32",90,93,59.0,8.95
359,zhigansk,RU,66.77,123.37,"06/25/19, 18:30:05",75,65,66.13,13.22
360,noyabrsk,RU,63.2,75.45,"06/25/19, 18:33:21",35,64,45.25,6.44
361,saint-paul,FR,45.22,1.9,"06/25/19, 18:33:21",71,32,87.01,10.29
362,rize,TR,41.02,40.52,"06/25/19, 18:33:21",75,83,79.0,6.93
363,umea,SE,63.83,20.26,"06/25/19, 18:33:22",0,67,59.0,8.05
364,pevek,RU,69.7,170.27,"06/25/19, 18:33:22",17,77,35.53,19.04
365,tautira,PF,-17.73,-149.15,"06/25/19, 18:33:22",20,61,77.0,1.12
366,emerald,AU,-23.53,148.16,"06/25/19, 18:33:22",90,76,53.6,9.17
367,samarai,PG,-10.62,150.67,"06/25/19, 18:28:56",99,96,73.87,7.0
368,gazli,UZ,40.13,63.45,"06/25/19, 18:33:22",0,9,86.83,10.65
369,ghatanji,IN,20.14,78.32,"06/25/19, 18:33:23",4,64,86.83,7.45
370,waipawa,NZ,-39.94,176.59,"06/25/19, 18:33:23",0,93,28.0,1.59
371,pittsburg,US,38.02,-121.89,"06/25/19, 18:33:23",1,28,84.0,9.17
372,rio grande,BR,-32.03,-52.1,"06/25/19, 18:29:00",90,87,55.4,17.22
373,lerwick,GB,60.15,-1.15,"06/25/19, 18:33:23",75,76,53.6,13.87
374,kavaratti,IN,10.57,72.64,"06/25/19, 18:33:23",99,76,83.77,17.31
375,quatre cocos,MU,-20.21,57.76,"06/25/19, 18:33:24",75,78,75.2,14.99
376,camden,US,39.94,-75.12,"06/25/19, 18:33:24",40,58,87.01,6.93
377,cyangugu,CD,-2.49,28.9,"06/25/19, 18:33:24",100,93,61.09,2.95
378,praia da vitoria,PT,38.73,-27.07,"06/25/19, 18:33:24",75,64,69.01,16.06
379,chicama,PE,-7.84,-79.15,"06/25/19, 18:33:25",20,72,68.0,11.41
380,impfondo,CD,1.62,18.06,"06/25/19, 18:33:25",95,85,74.95,5.23
381,perth,GB,56.4,-3.43,"06/25/19, 18:31:48",40,67,62.6,6.93
382,marsh harbour,BS,26.54,-77.06,"06/25/19, 18:33:25",0,67,85.39,6.51
383,belem de sao francisco,BR,-8.75,-38.97,"06/25/19, 18:33:25",67,31,87.37,12.95
384,amurzet,CN,47.69,131.09,"06/25/19, 18:33:26",100,98,64.51,2.68
385,abu dhabi,AE,24.47,54.37,"06/25/19, 18:33:23",35,75,93.2,6.93
386,ketchikan,US,55.34,-131.65,"06/25/19, 18:29:13",40,67,66.2,14.99
387,sitka,US,37.17,-99.65,"06/25/19, 18:33:26",6,41,88.0,18.01
388,kholm,RU,57.15,31.18,"06/25/19, 18:33:26",97,69,62.53,2.77
389,lebedinyy,RU,58.52,125.52,"06/25/19, 18:33:26",33,90,43.99,3.06
390,jizan,SA,16.89,42.56,"06/25/19, 18:30:10",40,53,96.8,12.75
391,sinnamary,GF,5.38,-52.96,"06/25/19, 18:33:27",7,82,80.71,15.05
392,awjilah,LY,29.14,21.3,"06/25/19, 18:33:27",0,15,95.47,14.41
393,saint-georges,CA,46.12,-70.67,"06/25/19, 18:33:27",100,58,73.0,4.0
394,petropavlovsk-kamchatskiy,RU,53.05,158.65,"06/25/19, 18:33:27",90,100,44.6,4.47
395,marienburg,DE,52.12,9.98,"06/25/19, 18:29:27",0,40,90.0,5.82
396,rumonge,BI,-3.97,29.44,"06/25/19, 18:28:43",60,72,68.11,3.24
397,johi,PK,26.69,67.61,"06/25/19, 18:33:27",0,27,102.49,7.67
398,zhigalovo,RU,54.81,105.15,"06/25/19, 18:33:27",100,98,58.39,2.44
399,gravdal,NO,59.79,5.78,"06/25/19, 18:33:28",75,82,63.0,8.05
400,pasni,PK,25.26,63.48,"06/25/19, 18:33:28",9,83,81.43,0.69
401,bisira,PA,8.52,-81.71,"06/25/19, 18:33:28",53,72,81.43,1.83
402,tyup,KG,42.73,78.36,"06/25/19, 18:33:28",75,79,37.15,5.26
403,san lazaro,BZ,18.04,-88.66,"06/25/19, 18:33:28",40,66,89.6,8.05
404,kapiri mposhi,ZM,-13.97,28.68,"06/25/19, 18:33:28",11,56,60.73,6.64
405,hambantota,LK,6.12,81.12,"06/25/19, 18:33:29",20,100,80.6,4.7
406,cerrito,CO,6.84,-72.7,"06/25/19, 18:33:29",40,69,80.6,8.05
407,mtwara,TZ,-10.28,40.18,"06/25/19, 18:33:29",41,80,71.17,7.11
408,nicolas bravo,MX,24.39,-104.74,"06/25/19, 18:33:29",40,31,79.0,9.17
409,rafraf,TN,37.19,10.18,"06/25/19, 18:33:29",0,37,84.2,10.29
410,dunedin,NZ,-45.87,170.5,"06/25/19, 18:33:29",0,56,48.0,8.99
411,zhezkazgan,KZ,47.8,67.71,"06/25/19, 18:33:30",0,18,83.95,7.58
412,geraldton,CA,49.72,-86.95,"06/25/19, 18:33:30",90,100,57.2,9.17
413,koforidua,GH,6.11,-0.27,"06/25/19, 18:33:30",100,97,71.53,3.13
414,albion,US,41.69,-98.0,"06/25/19, 18:31:34",1,53,82.0,7.07
415,semnan,IR,35.58,53.39,"06/25/19, 18:33:31",0,19,93.2,1.97
416,cabo san lucas,MX,22.89,-109.91,"06/25/19, 18:29:08",5,65,96.01,8.05
417,bermejo,AR,-22.73,-64.34,"06/25/19, 18:33:31",100,53,54.61,5.26
418,dum duma,IN,27.57,95.57,"06/25/19, 18:33:31",74,95,76.03,2.75
419,menongue,AO,-14.66,17.68,"06/25/19, 18:33:31",0,31,59.83,2.17
420,athboy,IE,53.62,-6.92,"06/25/19, 18:33:31",75,87,63.0,6.93
421,kysyl-syr,RU,63.9,122.77,"06/25/19, 18:33:31",0,97,55.33,4.27
422,anuradhapura,LK,8.34,80.41,"06/25/19, 18:33:32",99,75,82.33,11.34
423,saldanha,PT,41.42,-6.55,"06/25/19, 18:33:32",100,55,72.43,2.26
424,saint george,GR,39.45,22.34,"06/25/19, 18:33:32",20,48,84.2,3.78
425,mrakovo,RU,52.72,56.62,"06/25/19, 18:33:32",28,91,55.15,6.62
426,puertollano,ES,38.69,-4.11,"06/25/19, 18:33:32",0,19,95.0,6.93
427,saurimo,AO,-9.66,20.4,"06/25/19, 18:33:32",0,26,68.83,3.91
428,honningsvag,NO,70.98,25.97,"06/25/19, 18:33:32",75,76,50.0,25.28
429,vuktyl,RU,63.86,57.31,"06/25/19, 18:33:33",86,71,43.45,5.88
430,bambous virieux,MU,-20.34,57.76,"06/25/19, 18:33:33",75,78,75.2,14.99
431,husavik,CA,50.56,-96.99,"06/25/19, 18:33:33",100,39,75.0,1.99
432,shimoda,JP,34.7,138.93,"06/25/19, 18:33:33",19,90,68.0,1.99
433,lahaina,US,20.87,-156.68,"06/25/19, 18:33:33",75,74,80.6,11.65
434,narkevychi,UA,49.52,26.64,"06/25/19, 18:33:33",0,86,68.11,6.4
435,palimbang,PH,14.9,120.78,"06/25/19, 18:33:34",75,88,84.99,5.82
436,panzhihua,CN,26.59,101.72,"06/25/19, 18:33:34",98,88,68.47,1.14
437,longyearbyen,NO,78.22,15.63,"06/25/19, 18:33:34",40,65,44.6,9.17
438,gimli,CA,50.63,-96.99,"06/25/19, 18:29:02",59,39,75.0,10.0
439,bulaevo,KZ,54.91,70.44,"06/25/19, 18:33:34",66,93,64.87,4.97
440,grindavik,IS,63.84,-22.43,"06/25/19, 18:29:09",90,87,53.6,19.46
441,shimsk,RU,58.21,30.71,"06/25/19, 18:33:34",89,62,60.91,4.9
442,yinchuan,CN,38.48,106.21,"06/25/19, 18:33:34",46,57,69.01,0.38
443,maihar,IN,24.26,80.76,"06/25/19, 18:33:35",44,38,95.29,8.63
444,ballina,IE,54.11,-9.15,"06/25/19, 18:33:35",75,82,66.99,9.17
445,kisangani,CD,0.52,25.21,"06/25/19, 18:33:35",100,95,71.71,3.31
446,peniche,PT,39.36,-9.38,"06/25/19, 18:29:15",75,72,71.6,9.17
447,oni,GE,42.59,43.44,"06/25/19, 18:33:35",24,98,64.87,1.83
448,usinsk,RU,66.0,57.56,"06/25/19, 18:33:35",95,72,45.25,12.33
449,lamar,US,38.09,-102.62,"06/25/19, 18:33:36",1,34,86.0,7.7
450,lewisville,US,33.05,-96.99,"06/25/19, 18:33:36",40,58,91.0,9.17
451,kongoussi,BF,13.32,-1.53,"06/25/19, 18:33:36",97,19,103.75,6.33
452,ayia galini,GR,35.1,24.68,"06/25/19, 18:33:36",0,65,81.0,11.41
453,bam,IR,29.11,58.36,"06/25/19, 18:33:36",0,13,74.23,12.86
454,margate,AU,-43.03,147.26,"06/25/19, 18:33:36",0,75,48.99,8.05
455,havelock,US,34.88,-76.9,"06/25/19, 18:33:37",1,41,93.99,12.75
456,lima,PE,-12.06,-77.04,"06/25/19, 18:32:10",90,72,66.2,4.7
457,weligama,LK,5.97,80.42,"06/25/19, 18:30:16",100,81,83.05,17.22
458,corcoran,US,36.1,-119.56,"06/25/19, 18:33:37",1,39,90.0,1.74
459,jablanica,BA,43.66,17.76,"06/25/19, 18:33:37",20,40,87.8,4.7
460,deputatskiy,RU,69.3,139.9,"06/25/19, 18:33:37",47,57,59.47,4.38
461,buraydah,SA,26.33,43.97,"06/25/19, 18:33:37",0,16,98.6,6.93
462,la macarena,CO,2.18,-73.79,"06/25/19, 18:33:38",26,50,88.45,3.6
463,morgan city,US,29.7,-91.21,"06/25/19, 18:33:30",40,79,91.99,9.17
464,havre-saint-pierre,CA,50.23,-63.6,"06/25/19, 18:33:38",20,37,68.0,16.11
465,jacksonville beach,US,30.29,-81.39,"06/25/19, 18:30:59",20,49,99.0,8.05
466,heihe,RU,50.24,127.51,"06/25/19, 18:33:38",40,100,53.6,2.24
467,ifanadiana,MG,-21.3,47.64,"06/25/19, 18:33:38",0,97,57.31,2.42
468,tacna,PE,-18.01,-70.25,"06/25/19, 18:33:38",0,55,68.0,3.36
469,gamba,CN,28.28,88.52,"06/25/19, 18:33:39",37,68,45.79,6.38
470,raudeberg,NO,61.99,5.14,"06/25/19, 18:33:39",75,93,57.2,9.17
471,nancha,CN,47.14,129.26,"06/25/19, 18:33:39",90,97,61.81,4.9
472,valparaiso,US,41.47,-87.06,"06/25/19, 18:30:11",1,45,84.99,16.11
473,poya,NC,-21.35,165.16,"06/25/19, 18:33:39",71,88,71.71,12.21
474,oranjemund,ZA,-28.55,16.43,"06/25/19, 18:33:39",0,90,56.23,6.51
475,ambon,FR,47.55,-2.56,"06/25/19, 18:33:39",99,83,72.0,6.93
476,walvis bay,NA,-22.95,14.51,"06/25/19, 18:33:40",8,82,57.2,3.36
477,miranda,CO,3.25,-76.23,"06/25/19, 18:30:15",75,57,80.6,4.7
478,barinas,VE,8.64,-70.23,"06/25/19, 18:33:40",97,79,80.35,2.24
479,nabire,ID,-3.36,135.5,"06/25/19, 18:33:40",100,95,70.99,4.65
480,zambezi,ZM,-13.55,23.12,"06/25/19, 18:33:40",0,38,64.15,3.98
481,kahului,US,20.89,-156.47,"06/25/19, 18:29:16",20,69,80.6,3.36
482,aldan,RU,58.61,125.39,"06/25/19, 18:33:40",61,88,49.21,2.62
483,nicoya,CR,10.15,-85.45,"06/25/19, 18:33:40",75,70,87.8,9.17
484,ouro fino,BR,-22.28,-46.37,"06/25/19, 18:33:40",40,46,71.6,9.91
485,bubaque,GW,11.28,-15.83,"06/25/19, 18:33:41",0,74,79.81,15.61
486,guiratinga,BR,-16.35,-53.76,"06/25/19, 18:33:41",0,28,87.55,9.46
487,san policarpo,PH,12.18,125.51,"06/25/19, 18:33:41",100,87,78.37,4.81
488,bozoum,CF,6.31,16.38,"06/25/19, 18:33:41",51,97,68.47,3.83
489,xinzhou,CN,38.41,112.73,"06/25/19, 18:33:41",40,41,66.85,2.66
490,alofi,NU,-19.06,-169.92,"06/25/19, 18:33:41",100,94,71.6,8.05
491,labuhan,ID,-2.54,115.51,"06/25/19, 18:33:41",0,96,71.71,1.43
492,santa isabel do rio negro,BR,-0.41,-65.02,"06/25/19, 18:33:42",74,45,92.41,2.53
493,resistencia,AR,-27.45,-58.99,"06/25/19, 18:33:42",90,100,53.6,9.17
494,imeni morozova,RU,59.98,31.04,"06/25/19, 18:33:42",0,39,66.2,6.71
495,pokrovsk,UA,48.28,37.18,"06/25/19, 18:33:42",10,61,69.55,16.22
496,guerrero negro,MX,27.97,-114.04,"06/25/19, 18:33:42",97,81,63.61,6.26
497,pisco,PE,-13.71,-76.2,"06/25/19, 18:33:42",0,30,71.6,12.75
498,ucluelet,CA,48.94,-125.55,"06/25/19, 18:33:43",75,82,69.01,4.7
499,ares,ES,43.43,-8.24,"06/25/19, 18:33:43",20,72,68.0,8.05
500,miri,NG,10.31,9.75,"06/25/19, 18:33:43",58,59,82.51,6.96
501,san pedro,AR,-33.68,-59.66,"06/25/19, 18:33:45",0,42,55.0,7.0
502,elizabeth city,US,36.3,-76.22,"06/25/19, 18:29:12",40,52,91.4,10.29
503,ondangwa,NA,-17.91,15.98,"06/25/19, 18:33:45",0,19,75.2,4.7
504,shenjiamen,CN,29.96,122.3,"06/25/19, 18:33:45",100,85,69.55,6.62
505,lalmohan,BD,22.34,90.74,"06/25/19, 18:33:45",71,79,83.95,12.37
506,bitung,ID,1.44,125.19,"06/25/19, 18:33:45",40,94,73.4,3.36
507,grafton,AU,-29.69,152.93,"06/25/19, 18:33:46",71,93,53.6,5.82
508,chipinge,ZW,-20.19,32.62,"06/25/19, 18:33:46",44,91,60.19,7.61
509,pouembout,NC,-21.12,164.9,"06/25/19, 18:33:46",40,86,71.35,11.16
510,kailua,US,21.39,-157.74,"06/25/19, 18:33:46",75,94,78.8,5.91
511,megion,RU,61.04,76.11,"06/25/19, 18:33:46",0,62,57.2,6.71
512,carbonear,CA,47.73,-53.24,"06/25/19, 18:29:02",40,72,62.01,9.17
513,nuevo progreso,US,26.05,-97.95,"06/25/19, 18:33:47",40,58,89.01,9.17
514,shimoga,IN,13.92,75.57,"06/25/19, 18:33:47",32,83,72.79,11.1
515,sao jose da coroa grande,BR,-8.9,-35.15,"06/25/19, 18:33:47",77,74,78.73,8.93
516,bougouni,ML,11.42,-7.49,"06/25/19, 18:33:47",67,35,96.37,6.11
517,kodinsk,RU,58.6,99.18,"06/25/19, 18:33:47",81,62,64.69,6.33
518,asyut,EG,27.18,31.19,"06/25/19, 18:33:47",0,30,96.8,13.87
519,verkhnyaya inta,RU,65.99,60.32,"06/25/19, 18:33:48",100,80,43.09,13.78
520,klyuchi,RU,52.25,79.17,"06/25/19, 18:33:48",6,61,63.97,9.82
521,moratuwa,LK,6.77,79.88,"06/25/19, 18:33:48",40,79,84.2,11.41
522,kargil,PK,34.56,76.13,"06/25/19, 18:33:48",34,52,44.53,7.74
523,moskovskiy,RU,55.6,37.35,"06/25/19, 18:33:48",0,40,70.0,6.71
524,kutum,SD,14.2,24.66,"06/25/19, 18:33:48",59,13,89.17,15.57
525,birao,CF,10.3,22.78,"06/25/19, 18:33:49",36,56,86.11,7.76
526,stephenville,US,32.22,-98.2,"06/25/19, 18:32:44",1,55,89.01,8.05
527,gananoque,CA,44.33,-76.16,"06/25/19, 18:33:49",40,69,80.01,18.34
528,la union,GT,14.97,-89.29,"06/25/19, 18:33:49",71,32,88.0,1.99
529,itaberaba,BR,-12.52,-40.31,"06/25/19, 18:33:49",70,44,81.79,6.29
530,manggar,ID,-2.88,108.27,"06/25/19, 18:33:49",53,89,77.47,4.29
531,shizilu,CN,21.7,109.38,"06/25/19, 18:33:50",16,92,80.17,5.73
532,cap malheureux,MU,-19.98,57.61,"06/25/19, 18:33:50",75,78,75.2,14.99
533,karatau,KZ,43.18,70.46,"06/25/19, 18:33:50",0,86,66.0,1.99
534,monywa,MM,22.12,95.13,"06/25/19, 18:33:50",100,61,87.73,15.08
535,kuytun,RU,54.34,101.51,"06/25/19, 18:33:50",100,97,49.57,11.27
536,gayeri,BF,12.65,0.49,"06/25/19, 18:33:50",46,27,99.97,7.18
537,naze,NG,5.43,7.07,"06/25/19, 18:33:50",100,97,73.51,3.58
538,clyde river,CA,70.47,-68.59,"06/25/19, 18:33:51",75,80,41.0,8.05
539,williams lake,CA,52.13,-122.14,"06/25/19, 18:29:22",75,54,59.0,4.7
540,wladyslawowo,PL,54.79,18.4,"06/25/19, 18:33:51",0,69,80.01,6.93
541,alta,NO,69.97,23.27,"06/25/19, 18:33:51",75,50,55.4,10.29
542,socorro,PH,13.06,121.41,"06/25/19, 18:33:51",100,95,70.63,0.72
543,abu zabad,SD,12.35,29.25,"06/25/19, 18:33:51",100,35,90.07,4.29
544,tanout,NE,14.97,8.88,"06/25/19, 18:33:52",62,32,94.93,28.3
545,rossland,CA,49.08,-117.8,"06/25/19, 18:33:52",0,51,73.99,1.99
546,la ronge,CA,55.1,-105.3,"06/25/19, 18:33:52",90,76,55.4,6.93
547,opuwo,NA,-18.06,13.84,"06/25/19, 18:33:52",0,60,54.07,4.68
548,popova,RS,43.33,21.27,"06/25/19, 18:33:52",40,51,82.4,8.05
549,inirida,CO,3.87,-67.92,"06/25/19, 18:30:07",100,99,72.25,3.27
550,mahanoro,MG,-19.9,48.8,"06/25/19, 18:33:52",52,98,65.41,2.15
551,goroka,PG,-6.07,145.39,"06/25/19, 18:33:52",98,99,55.15,2.62
552,kenai,US,60.55,-151.26,"06/25/19, 18:33:53",90,87,63.0,11.41
